"Day","AvTemp","AvWat","Rainfall"
1,5.995,0.131333333,1.31333333
2,8.244,0.113875,1.13875
3,9.64,0.127875,1.27875
4,9.065,0.14675,1.4675
5,8.1835,0.130833333,1.30833333
6,8.7775,0.112416667,1.12416667
7,9.11,0.101833333,1.01833333
8,8.9985,0.096458333,0.96458333
9,3.1445,0.092125,0.92125
10,3.1125,0.088166667,0.88166667
11,4.143,0.08975,0.8975
12,3.2575,0.096791667,0.96791667
13,0.6125,0.110583333,1.10583333
14,3.903,0.097958333,0.97958333
15,1.616,0.092166667,0.92166667
16,0.9445,0.116708333,1.16708333
17,2.5545,0.160458333,1.60458333
18,1.367,0.144791667,1.44791667
19,0.5935,0.120958333,1.20958333
20,0.917,0.111166667,1.11166667
21,1.903,0.103375,1.03375
22,1.3315,0.097,0.97
23,1.89,0.091875,0.91875
24,1.03,0.086666667,0.86666667
25,1.7555,0.081791667,0.81791667
26,5.5655,0.07825,0.7825
27,7.217,0.073958333,0.73958333
28,5.8375,0.070416667,0.70416667
29,9.4245,0.067833333,0.67833333
30,4.19,0.068333333,0.68333333
31,4.74,0.088583333,0.88583333
32,5.522,0.086625,0.86625
33,2.6085,0.131333333,1.31333333
34,4.839,0.113875,1.13875
35,7.5895,0.127875,1.27875
36,4.813,0.14675,1.4675
37,3.8935,0.130833333,1.30833333
38,3.2855,0.112416667,1.12416667
39,6.1335,0.101833333,1.01833333
40,6.765,0.096458333,0.96458333
41,6.4145,0.092125,0.92125
42,4.7425,0.088166667,0.88166667
43,3.8405,0.08975,0.8975
44,5.5335,0.096791667,0.96791667
45,7.613,0.110583333,1.10583333
46,6.3165,0.097958333,0.97958333
47,7.9655,0.092166667,0.92166667
48,5.6235,0.116708333,1.16708333
49,5.4265,0.160458333,1.60458333
50,3.927,0.144791667,1.44791667
51,2.9285,0.120958333,1.20958333
52,1.6565,0.111166667,1.11166667
53,0.935,0.103375,1.03375
54,2.49,0.097,0.97
55,2.637,0.091875,0.91875
56,2.4315,0.086666667,0.86666667
57,6.818,0.081791667,0.81791667
58,3.9585,0.07825,0.7825
59,5.842,0.073958333,0.73958333
60,4.2765,0.070416667,0.70416667
61,3.76,0.067833333,0.67833333
62,2.707,0.068333333,0.68333333
63,6.296,0.088583333,0.88583333
64,6.904,0.086625,0.86625
65,8.5255,0.116041667,1.16041667
66,9.525,0.127333333,1.27333333
67,10.3945,0.131291667,1.31291667
68,8.5805,0.108458333,1.08458333
69,3.498,0.106166667,1.06166667
70,0.3965,0.09775,0.9775
71,1.9625,0.08925,0.8925
72,3.9785,0.08825,0.8825
73,2.33,0.089625,0.89625
74,7.368,0.101416667,1.01416667
75,4.232,0.096916667,0.96916667
76,4.9225,0.096541667,0.96541667
77,5.411,0.08875,0.8875
78,4.8665,0.083875,0.83875
79,4.92,0.096916667,0.96916667
80,4.507,0.144541667,1.44541667
81,3.4375,0.128625,1.28625
82,3.219,0.107833333,1.07833333
83,1.461,0.100041667,1.00041667
84,3.158,0.099375,0.99375
85,2.1335,0.136583333,1.36583333
86,2.3815,0.11475,1.1475
87,2.0855,0.105166667,1.05166667
88,3.34,0.097208333,0.97208333
89,2.456,0.092166667,0.92166667
90,3.05,0.087625,0.87625
91,3.762,0.083083333,0.83083333
92,4.918,0.079291667,0.79291667
93,4.385,0.076208333,0.76208333
94,3.3555,0.073291667,0.73291667
95,4.2175,0.071083333,0.71083333
96,3.141,0.069166667,0.69166667
97,4.8225,0.068125,0.68125
98,7.9565,0.067333333,0.67333333
99,7.1735,0.065791667,0.65791667
100,8.5585,0.063916667,0.63916667
101,10.3545,0.061625,0.61625
102,7.5245,0.0595,0.595
103,7.4195,0.058083333,0.58083333
104,12.98,0.057416667,0.57416667
105,13.67,0.057541667,0.57541667
106,12.302,0.057416667,0.57416667
107,11.45,0.077708333,0.77708333
108,10.721,0.06975,0.6975
109,7.7045,0.069041667,0.69041667
110,7.8615,0.099166667,0.99166667
111,7.4095,0.103791667,1.03791667
112,9.2655,0.081833333,0.81833333
113,11.944,0.112541667,1.12541667
114,9.713,0.109125,1.09125
115,9.8265,0.085041667,0.85041667
116,8.983,0.088625,0.88625
117,7.4205,0.094625,0.94625
118,6.098,0.137291667,1.37291667
119,8.9425,0.111666667,1.11666667
120,7.402,0.088375,0.88375
121,8.3125,0.112541667,1.12541667
122,8.9065,0.109125,1.09125
123,9.6195,0.085041667,0.85041667
124,12.03,0.088625,0.88625
125,13.595,0.0775,0.775
126,6.133017377,0.107375,1.07375
127,7.208506957,0.111,1.11
128,8.283996537,0.131333333,1.31333333
129,9.359486117,0.113875,1.13875
130,10.90479167,0.127875,1.27875
131,10.57083333,0.14675,1.4675
132,13.05577083,0.130833333,1.30833333
133,13.31416667,0.112416667,1.12416667
134,12.705625,0.101833333,1.01833333
135,12.0825,0.096458333,0.96458333
136,8.996416667,0.092125,0.92125
137,9.682166667,0.088166667,0.88166667
138,9.296916667,0.08975,0.8975
139,10.12025,0.096791667,0.96791667
140,8.660916667,0.110583333,1.10583333
141,9.690291667,0.097958333,0.97958333
142,13.18472917,0.092166667,0.92166667
143,14.26875,0.116708333,1.16708333
144,12.77133333,0.160458333,1.60458333
145,13.20258333,0.144791667,1.44791667
146,12.46527083,0.120958333,1.20958333
147,14.63391667,0.111166667,1.11166667
148,15.8686875,0.103375,1.03375
149,15.35625,0.097,0.97
150,15.58658333,0.091875,0.91875
151,17.236125,0.086666667,0.86666667
152,16.98208333,0.081791667,0.81791667
153,15.7534375,0.07825,0.7825
154,15.030125,0.073958333,0.73958333
155,15.75,0.070416667,0.70416667
156,15.82208333,0.067833333,0.67833333
157,13.40916667,0.068333333,0.68333333
158,13.8875,0.088583333,0.88583333
159,12.94979167,0.086625,0.86625
160,14.38479167,0.116041667,1.16041667
161,16.274375,0.127333333,1.27333333
162,17.08208333,0.131291667,1.31291667
163,16.35520833,0.108458333,1.08458333
164,14.603125,0.106166667,1.06166667
165,15.81041667,0.09775,0.9775
166,15.10041667,0.08925,0.8925
167,13.0975,0.08825,0.8825
168,14.07520833,0.089625,0.89625
169,13.2408125,0.101416667,1.01416667
170,14.406375,0.096916667,0.96916667
171,13.14,0.096541667,0.96541667
172,15.36729167,0.08875,0.8875
173,16.108125,0.083875,0.83875
174,16.04375,0.096916667,0.96916667
175,14.974375,0.144541667,1.44541667
176,13.95875,0.128625,1.28625
177,16.05604167,0.107833333,1.07833333
178,16.733125,0.100041667,1.00041667
179,16.185,0.099375,0.99375
180,15.73125,0.136583333,1.36583333
181,16.95020833,0.11475,1.1475
182,20.518125,0.105166667,1.05166667
183,19.64145833,0.097208333,0.97208333
184,19.96916667,0.092166667,0.92166667
185,19.02854167,0.087625,0.87625
186,17.979375,0.083083333,0.83083333
187,18.41333333,0.079291667,0.79291667
188,18.77333333,0.076208333,0.76208333
189,17.763125,0.073291667,0.73291667
190,16.8275,0.071083333,0.71083333
191,18.02645833,0.069166667,0.69166667
192,20.43979167,0.068125,0.68125
193,22.8775,0.067333333,0.67333333
194,21.20854167,0.065791667,0.65791667
195,21.03708333,0.063916667,0.63916667
196,21.56375,0.061625,0.61625
197,20.349375,0.0595,0.595
198,20.60145833,0.058083333,0.58083333
199,19.7,0.057416667,0.57416667
200,18.66020833,0.057541667,0.57541667
201,17.20291667,0.057416667,0.57416667
202,18.29291667,0.077708333,0.77708333
203,18.47395833,0.06975,0.6975
204,17.89625,0.069041667,0.69041667
205,17.62270833,0.099166667,0.99166667
206,20.728125,0.103791667,1.03791667
207,19.895,0.081833333,0.81833333
208,17.59979167,0.112541667,1.12541667
209,17.43729167,0.109125,1.09125
210,16.675,0.085041667,0.85041667
211,16.15395833,0.088625,0.88625
212,16.75604167,0.094625,0.94625
213,16.82416667,0.137291667,1.37291667
214,17.44125,0.111666667,1.11666667
215,16.956875,0.088375,0.88375
216,15.70895833,0.081541667,0.81541667
217,14.51020833,0.109541667,1.09541667
218,16.74208333,0.074875,0.74875
219,19.23104167,0.063208333,0.63208333
220,17.82145833,0.05675,0.5675
221,17.25479167,0.069583333,0.69583333
222,17.27583333,0.122583333,1.22583333
223,16.90833333,0.144333333,1.44333333
224,16.978125,0.110041667,1.10041667
225,16.364375,0.101958333,1.01958333
226,17.781875,0.074916667,0.74916667
227,16.951875,0.060875,0.60875
228,15.673125,0.057625,0.57625
229,14.8374375,0.058625,0.58625
230,17.18666667,0.057333333,0.57333333
231,17.05354167,0.090875,0.90875
232,15.18916667,0.077458333,0.77458333
233,17.44125,0.064375,0.64375
234,18.29375,0.059291667,0.59291667
235,13.671625,0.058583333,0.58583333
236,13.62541667,0.05675,0.5675
237,16.85458333,0.059,0.59
238,17.89354167,0.058416667,0.58416667
239,16.61860417,0.056416667,0.56416667
240,15.078125,0.056208333,0.56208333
241,12.2593125,0.056166667,0.56166667
242,11.764375,0.055208333,0.55208333
243,13.825,0.053875,0.53875
244,13.61,0.060916667,0.60916667
245,16.415,0.087291667,0.87291667
246,18.1,0.0775,0.775
247,16.93,0.107375,1.07375
248,14.83,0.111,1.11
249,12.5405,0.131333333,1.31333333
250,11.825,0.113875,1.13875
251,11.83,0.127875,1.27875
252,13.58,0.14675,1.4675
253,13.635,0.130833333,1.30833333
254,14.295,0.112416667,1.12416667
255,16.42,0.101833333,1.01833333
256,13.205,0.096458333,0.96458333
257,11.2505,0.092125,0.92125
258,11.3535,0.088166667,0.88166667
259,11.18,0.08975,0.8975
260,12.355,0.096791667,0.96791667
261,11.515,0.110583333,1.10583333
262,13.19,0.097958333,0.97958333
263,12.945,0.092166667,0.92166667
264,15.05,0.116708333,1.16708333
265,16.515,0.160458333,1.60458333
266,16.93,0.144791667,1.44791667
267,13.802,0.120958333,1.20958333
268,16.79,0.111166667,1.11166667
269,14.635,0.103375,1.03375
270,15.845,0.097,0.97
271,15.225,0.091875,0.91875
272,14.91,0.086666667,0.86666667
273,14.33,0.081791667,0.81791667
274,15.25,0.07825,0.7825
275,17.55,0.073958333,0.73958333
276,16.695,0.070416667,0.70416667
277,15.63,0.067833333,0.67833333
278,13.15,0.068333333,0.68333333
279,12.84,0.088583333,0.88583333
280,16.825,0.086625,0.86625
281,15.14,0.116041667,1.16041667
282,11.045,0.127333333,1.27333333
283,8.991,0.131291667,1.31291667
284,9.462,0.108458333,1.08458333
285,11.985,0.106166667,1.06166667
286,10.485,0.09775,0.9775
287,8.6785,0.08925,0.8925
288,9.691,0.08825,0.8825
289,12.08,0.089625,0.89625
290,13.11,0.101416667,1.01416667
291,12.91,0.096916667,0.96916667
292,14.455,0.096541667,0.96541667
293,14.115,0.08875,0.8875
294,14.41,0.083875,0.83875
295,15.59,0.096916667,0.96916667
296,12.34,0.144541667,1.44541667
297,11.657,0.128625,1.28625
298,14.395,0.107833333,1.07833333
299,12.265,0.100041667,1.00041667
300,11.97,0.099375,0.99375
301,10.19,0.136583333,1.36583333
302,9.51,0.11475,1.1475
303,9.2885,0.105166667,1.05166667
304,10.3485,0.097208333,0.97208333
305,10.325,0.092166667,0.92166667
306,9.285,0.087625,0.87625
307,8.739,0.083083333,0.83083333
308,5.554,0.079291667,0.79291667
309,8.7945,0.076208333,0.76208333
310,11.38,0.073291667,0.73291667
311,5.695,0.071083333,0.71083333
312,7.846,0.069166667,0.69166667
313,6.9105,0.068125,0.68125
314,6.0265,0.067333333,0.67333333
315,10.81,0.065791667,0.65791667
316,7.5255,0.063916667,0.63916667
317,6.2105,0.061625,0.61625
318,7.34,0.0595,0.595
319,6.7895,0.058083333,0.58083333
320,9.525,0.057416667,0.57416667
321,9.1425,0.057541667,0.57541667
322,7.0305,0.057416667,0.57416667
323,3.676,0.077708333,0.77708333
324,6.535,0.06975,0.6975
325,4.6565,0.069041667,0.69041667
326,3.4335,0.099166667,0.99166667
327,2.4865,0.103791667,1.03791667
328,4.124,0.081833333,0.81833333
329,3.981,0.112541667,1.12541667
330,5.79,0.109125,1.09125
331,8.3935,0.085041667,0.85041667
332,6.334,0.088625,0.88625
333,8.4445,0.094625,0.94625
334,5.4645,0.137291667,1.37291667
335,8.376,0.111666667,1.11666667
336,7.581,0.088375,0.88375
337,7.811,0.081541667,0.81541667
338,7.126,0.109541667,1.09541667
339,7.664,0.074875,0.74875
340,7.224,0.063208333,0.63208333
341,8.3155,0.05675,0.5675
342,9.53,0.069583333,0.69583333
343,8.203,0.122583333,1.22583333
344,9.085,0.144333333,1.44333333
345,7.205,0.110041667,1.10041667
346,9.492,0.101958333,1.01958333
347,9.2825,0.074916667,0.74916667
348,8.719,0.060875,0.60875
349,8.563,0.057625,0.57625
350,8.567,0.058625,0.58625
351,4.289,0.057333333,0.57333333
352,8.2035,0.090875,0.90875
353,4.558,0.077458333,0.77458333
354,7.884,0.064375,0.64375
355,8.416,0.059291667,0.59291667
356,5.328,0.058583333,0.58583333
357,7.6785,0.05675,0.5675
358,5.599,0.110041667,1.10041667
359,3.785,0.101958333,1.01958333
360,3.58,0.074916667,0.74916667
